    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
     175.47       0.898       1.097       0.731       0.332       0.266       0.224       3.549
     177.10       0.926       1.132       0.755       0.343       0.274       0.225       3.655
     177.22       0.927       1.133       0.756       0.343       0.275       0.225       3.659
     177.24       0.927       1.133       0.756       0.343       0.275       0.225       3.660
     178.02       0.935       1.142       0.762       0.346       0.277       0.225       3.686
     178.05       0.935       1.143       0.762       0.346       0.277       0.225       3.687
     179.27       0.946       1.156       0.771       0.350       0.280       0.224       3.728
     179.74       0.951       1.162       0.774       0.352       0.282       0.224       3.744
     179.75       0.951       1.162       0.775       0.352       0.282       0.224       3.745
     180.00       0.953       1.165       0.776       0.353       0.282       0.224       3.753
     180.40       0.957       1.169       0.779       0.354       0.283       0.223       3.766
     180.41       0.957       1.170       0.780       0.354       0.283       0.223       3.767
     180.71       0.959       1.208       0.782       0.355       0.284       0.223       3.777
     181.14       0.963       1.178       0.785       0.357       0.285       0.223       3.791
     182.16       0.973       1.225       0.793       0.360       0.288       0.222       3.825
     182.17       0.973       1.225       0.793       0.360       0.288       0.222       3.826
     182.39       0.975       1.228       0.794       0.361       0.289       0.222       3.833
     183.45       0.985       1.240       0.802       0.365       0.292       0.221       3.869
     183.91       0.989       1.245       0.806       0.366       0.293       0.221       3.884
     184.10       0.991       1.211       0.807       0.367       0.294       0.221       3.890
     184.52       0.995       1.253       0.810       0.368       0.295       0.220       3.904
     184.53       0.995       1.253       0.811       0.368       0.295       0.220       3.905
     184.76       0.997       1.255       0.812       0.369       0.295       0.220       3.912
     184.80       0.997       1.256       0.813       0.369       0.295       0.220       3.914
     185.00       0.999       1.258       0.814       0.370       0.296       0.220       3.920
     185.21       1.001       1.261       0.816       0.371       0.297       0.220       3.927
     186.60       1.014       1.277       0.826       0.376       0.300       0.218       3.973
     186.87       1.016       1.280       0.828       0.376       0.301       0.218       3.982
     187.95       1.026       1.293       0.836       0.380       0.304       0.217       4.018
     188.23       1.029       1.296       0.838       0.381       0.305       0.217       4.028
     188.31       1.030       1.297       0.839       0.381       0.305       0.216       4.030
     188.70       1.033       1.301       0.842       0.383       0.306       0.216       4.043
     190.00       1.045       1.316       0.852       0.387       0.310       0.214       4.086
     190.02       1.046       1.317       0.852       0.387       0.310       0.214       4.087
     190.70       1.052       1.325       0.857       0.390       0.312       0.214       4.109
     191.04       1.055       1.328       0.860       0.391       0.313       0.213       4.120
     191.29       1.057       1.331       0.861       0.392       0.313       0.213       4.129
     191.34       1.058       1.332       0.862       0.392       0.313       0.213       4.130
     192.38       1.067       1.344       0.870       0.395       0.316       0.211       4.165
     192.40       1.068       1.344       0.870       0.395       0.316       0.211       4.165
     192.80       1.071       1.349       0.873       0.397       0.317       0.211       4.178
     192.82       1.071       1.349       0.873       0.397       0.317       0.211       4.179
     193.50       1.078       1.357       0.878       0.399       0.319       0.210       4.201
     193.52       1.078       1.357       0.878       0.399       0.319       0.210       4.202
     195.00       1.092       1.375       0.889       0.404       0.323       0.208       4.251
     195.13       1.093       1.376       0.890       0.405       0.324       0.208       4.255
     195.14       1.093       1.376       0.890       0.405       0.324       0.208       4.255
     196.52       1.106       1.392       0.901       0.409       0.328       0.206       4.300
     196.63       1.107       1.394       0.902       0.410       0.328       0.205       4.304
     196.65       1.107       1.394       0.902       0.410       0.328       0.205       4.305
     197.41       1.114       1.403       0.908       0.413       0.330       0.204       4.329
     197.44       1.114       1.403       0.908       0.413       0.330       0.204       4.330
     198.53       1.124       1.416       0.916       0.416       0.333       0.202       4.366
     198.58       1.125       1.416       0.916       0.417       0.333       0.202       4.368
     200.00       1.138       1.433       0.927       0.421       0.337       0.200       4.414
     200.02       1.137       1.433       0.927       0.421       0.337       0.200       4.414
     201.10       1.105       1.446       0.935       0.425       0.340       0.198       4.450
     201.13       1.106       1.446       0.936       0.425       0.340       0.198       4.451
     202.05       1.114       1.457       0.943       0.428       0.343       0.196       4.480
     202.64       1.119       1.464       0.947       0.430       0.344       0.195       4.499
     203.78       1.129       1.477       0.956       0.434       0.347       0.193       4.536
     203.81       1.130       1.477       0.956       0.434       0.348       0.193       4.537
     204.25       1.133       1.482       0.959       0.436       0.349       0.192       4.551
     204.89       1.139       1.490       0.964       0.438       0.351       0.191       4.572
     204.94       1.140       1.490       0.964       0.438       0.351       0.191       4.574
     205.00       1.140       1.491       0.965       0.439       0.351       0.190       4.576
     206.26       1.151       1.506       0.974       0.443       0.354       0.188       4.616
     206.38       1.152       1.507       0.975       0.443       0.355       0.188       4.620
     206.60       1.154       1.510       0.977       0.444       0.355       0.187       4.627
     207.46       1.162       1.519       0.983       0.447       0.357       0.185       4.652
     208.33       1.169       1.528       0.989       0.450       0.360       0.182       4.678
     209.63       1.180       1.543       0.998       0.454       0.363       0.178       4.716
     209.78       1.181       1.544       0.999       0.454       0.363       0.178       4.720
     209.93       1.182       1.546       1.000       0.455       0.364       0.177       4.724
     210.00       1.183       1.547       1.001       0.455       0.364       0.177       4.727
     211.32       1.194       1.561       1.010       0.459       0.367       0.173       4.765
     212.14       1.201       1.570       1.016       0.462       0.324       0.171       4.789
     212.15       1.201       1.570       1.016       0.462       0.323       0.171       4.789
     213.78       1.214       1.588       1.028       0.467       0.356       0.166       4.836
     213.80       1.215       1.588       1.028       0.467       0.357       0.165       4.837
     214.75       1.222       1.599       1.034       0.470       0.376       0.162       4.864
