    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
     246.24       1.485       2.000       1.314       0.571       0.400       0.029       5.743
     246.91       1.491       2.007       1.319       0.573       0.401       0.026       5.761
     247.18       1.493       2.010       1.321       0.574       0.402       0.024       5.768
     248.00       1.500       2.043       1.327       0.577       0.404       0.020       5.790
     249.18       1.511       2.091       1.337       0.581       0.407       0.000       5.812
     249.23       1.512       2.093       1.337       0.581       0.407       0.000       5.814
     250.00       1.519       2.103       1.344       0.584       0.409       0.000       5.842
     251.10       1.529       2.117       1.353       0.588       0.412       0.000       5.881
     251.95       1.479       2.128       1.360       0.591       0.414       0.000       5.912
     251.96       1.478       2.128       1.360       0.591       0.414       0.000       5.912
     252.17       1.539       2.131       1.362       0.592       0.414       0.000       5.920
     252.19       1.539       2.131       1.362       0.592       0.414       0.000       5.921
     253.78       1.554       2.152       1.375       0.598       0.418       0.000       5.978
     253.80       1.554       2.152       1.375       0.598       0.418       0.000       5.978
     254.40       1.560       2.160       1.380       0.600       0.420       0.000       6.000
     255.00       1.564       2.166       1.384       0.602       0.421       0.000       6.016
     256.32       1.573       2.179       1.392       0.605       0.424       0.000       6.051
     256.37       1.574       2.179       1.392       0.605       0.424       0.000       6.053
     256.38       1.574       2.179       1.392       0.605       0.424       0.000       6.053
     256.64       1.576       2.182       1.394       0.606       0.424       0.000       6.060
     256.69       1.576       2.182       1.394       0.606       0.424       0.000       6.061
     257.16       1.579       2.187       1.397       0.607       0.389       0.000       6.074
     257.39       1.581       2.189       1.398       0.608       0.372       0.000       6.080
     257.48       1.581       2.190       1.399       0.608       0.365       0.000       6.082
     258.30       1.587       2.198       1.404       0.610       0.366       0.000       6.104
     258.36       1.588       2.198       1.404       0.611       0.366       0.000       6.106
     258.40       1.588       2.199       1.405       0.611       0.366       0.000       6.107
     259.50       1.534       2.209       1.411       0.614       0.368       0.000       6.137
     259.52       1.534       2.209       1.412       0.614       0.368       0.000       6.137
     260.00       1.538       2.214       1.414       0.615       0.369       0.000       6.150
     261.05       1.547       2.227       1.423       0.619       0.371       0.000       6.187
     261.08       1.547       2.228       1.423       0.619       0.371       0.000       6.188
     262.99       1.564       2.252       1.439       0.625       0.375       0.000       6.255
     264.24       1.575       2.267       1.449       0.630       0.378       0.000       6.298
     264.27       1.575       2.268       1.449       0.630       0.378       0.000       6.299
     264.80       1.579       2.274       1.453       0.632       0.379       0.000       6.318
     265.00       1.581       2.277       1.455       0.633       0.380       0.000       6.325
     269.50       1.621       2.334       1.491       0.648       0.389       0.000       6.483
     270.00       1.625       2.340       1.495       0.650       0.390       0.000       6.500
     270.50       1.629       2.346       1.499       0.652       0.391       0.000       6.517
     270.51       1.629       2.346       1.499       0.652       0.391       0.000       6.518
     271.99       1.642       2.365       1.511       0.657       0.394       0.000       6.570
     272.64       1.648       2.373       1.516       0.659       0.396       0.000       6.592
     272.70       1.649       2.374       1.517       0.659       0.396       0.000       6.595
     274.19       1.662       2.393       1.529       0.665       0.399       0.000       6.647
     274.24       1.662       2.393       1.529       0.665       0.399       0.000       6.648
     275.00       1.669       2.403       1.535       0.668       0.400       0.000       6.675
     275.35       1.672       2.407       1.538       0.669       0.401       0.000       6.687
     275.67       1.675       2.411       1.541       0.670       0.402       0.000       6.698
     275.76       1.675       2.413       1.541       0.670       0.402       0.000       6.702
     276.15       1.679       2.417       1.545       0.672       0.403       0.000       6.715
     276.77       1.684       2.425       1.549       0.674       0.404       0.000       6.737
     276.84       1.685       2.426       1.550       0.674       0.404       0.000       6.739
     277.00       1.686       2.428       1.551       0.674       0.405       0.000       6.745
