Fennally et al cross sections at Hinteregger wavelengths.
     WVLN         O Ion        O2 Ion       O2 Abs       N2 Ion       N2 Abs  
   162.0000       2.6491       6.1630       6.1630       3.8127       3.8127
   164.1500       2.7970       6.3080       6.3080       3.9260       3.9260
   167.5000       3.0210       6.5320       6.5320       4.1050       4.1050
   168.1700       3.0660       6.5770       6.5770       4.1410       4.1410
   168.5500       3.0910       6.6030       6.6030       4.1620       4.1620
   168.9200       3.1160       6.6280       6.6280       4.1820       4.1820
   169.7000       3.1680       6.6800       6.6800       4.2240       4.2240
   171.0800       3.2590       6.7680       6.7680       4.2980       4.2980
   172.1700       3.3310       6.8370       6.8370       4.3570       4.3570
   173.0800       3.3910       6.8940       6.8940       4.4060       4.4060
   174.5800       3.4900       6.9890       6.9890       4.4870       4.4870
   175.2600       3.5350       7.0310       7.0310       4.5260       4.5260
   177.2400       3.6600       7.1560       7.1560       4.6440       4.6440
   178.0500       3.6870       7.2070       7.2070       4.6930       4.6930
   179.2700       3.7280       7.2840       7.2840       4.7660       4.7660
   179.7500       3.7450       7.3140       7.3140       4.7950       4.7950
   180.4100       3.7670       7.3640       7.3640       4.8390       4.8390
   181.1400       3.7910       7.4230       7.4230       4.8900       4.8900
   182.1700       3.8260       7.5080       7.5080       4.9620       4.9620
   183.4500       3.8690       7.6130       7.6130       5.0510       5.0510
   184.5300       3.9050       7.7010       7.7010       5.1270       5.1270
   184.8000       3.9140       7.7240       7.7240       5.1460       5.1460
   185.2100       3.9270       7.7570       7.7570       5.1740       5.1740
   186.6000       3.9730       7.8710       7.8710       5.2690       5.2690
   186.8700       3.9820       7.8930       7.8930       5.2870       5.2870
   187.9500       4.0180       7.9820       7.9820       5.3610       5.3610
   188.2300       4.0280       8.0050       8.0050       5.3800       5.3800
   188.3100       4.0300       8.0110       8.0110       5.3850       5.3850
   190.0200       4.0870       8.1510       8.1510       5.5010       5.5010
   191.0400       4.1200       8.2240       8.2240       5.5690       5.5690
   191.3400       4.1300       8.2450       8.2450       5.5880       5.5880
   192.4000       4.1650       8.3200       8.3200       5.6580       5.6580
   192.8200       4.1790       8.3500       8.3500       5.6860       5.6860
   193.5200       4.2020       8.4000       8.4000       5.7320       5.7320
   195.1300       4.2550       8.5140       8.5140       5.8400       5.8400
   196.5200       4.3000       8.6130       8.6130       5.9420       5.9420
   196.6500       4.3050       8.6220       8.6220       5.9520       5.9520
   197.4400       4.3300       8.6780       8.6780       6.0110       6.0110
   198.5800       4.3680       8.7590       8.7590       6.0950       6.0950
   200.0200       4.4140       8.8610       8.8610       6.2020       6.2020
   201.1300       4.4510       8.9400       8.9400       6.2860       6.2860
   202.0500       4.4800       9.0060       9.0060       6.3560       6.3560
   202.6400       4.4990       9.0470       9.0470       6.4010       6.4010
   203.8100       4.5370       9.1310       9.1310       6.4900       6.4900
   204.2500       4.5510       9.1620       9.1620       6.5230       6.5230
   204.9400       4.5740       9.2110       9.2110       6.5750       6.5750
   206.2600       4.6160       9.3040       9.3040       6.6830       6.6830
   206.3800       4.6200       9.3130       9.3130       6.6930       6.6930
   207.4600       4.6520       9.3900       9.3900       6.7820       6.7820
   208.3300       4.6780       9.4510       9.4510       6.8530       6.8530
   209.6300       4.7160       9.5440       9.5440       6.9600       6.9600
   209.7800       4.7200       9.5540       9.5540       6.9720       6.9720
   211.3200       4.7650       9.6660       9.6660       7.0980       7.0980
   212.1400       4.7890       9.7260       9.7260       7.1650       7.1650
   213.7800       4.8360       9.8460       9.8460       7.3000       7.3000
   214.7500       4.8640       9.9170       9.9170       7.3790       7.3790
   215.1600       4.8760       9.9470       9.9470       7.4140       7.4140
   216.8800       4.9250      10.0720      10.0720       7.5690       7.5690
   218.1900       4.9630      10.1680      10.1680       7.6870       7.6870
   219.1300       4.9900      10.2360      10.2360       7.7720       7.7720
   220.0800       5.0170      10.3060      10.3060       7.8570       7.8570
   221.4400       5.0560      10.4150      10.4150       7.9740       7.9740
   221.8200       5.0670      10.4460      10.4460       8.0070       8.0070
   224.7400       5.1490      10.6790      10.6790       8.2580       8.2580
   225.1200       5.1600      10.7100      10.7100       8.2900       8.2900
   227.0100       5.2130      10.8610      10.8610       8.4530       8.4530
   227.1900       5.2180      10.8750      10.8750       8.4680       8.4680
   227.4700       5.2260      10.8980      10.8980       8.4920       8.4920
   228.7000       5.2610      10.9960      10.9960       8.5980       8.5980
   230.6500       5.3150      11.1520      11.1520       8.7630       8.7630
   231.5500       5.3400      11.2240      11.2240       8.8370       8.8370
